CustID,Name,State,City,District
1,Cane,IL,Newark,Ten10 District
2,Jack,IN,Vallejo,East Baton District
3,Tess,MT,Raleigh,San Bart District
4,Ruth,PR,Edison,Ten10 District
5,Gail,WV,Santa Clara,Moore District
6,Tess,AR,Newark,San Bart District
7,Jack,NC,Santa Rosa,San Bart District
8,Clark,VI,Chamblee,West Turtle District
9,Blake,NV,Billings,Redlight District
10,Kim,OH,Springfield,San Bart District
11,Ross,AR,Las Cruces,South Lake District
12,Grant,NJ,Billings,East Baton District
13,Ruth,AR,Austin,OVO District
14,Clarence,GU,ShrevportEl Paso,Moore District
15,Todd,AK,Raleigh,Ten10 District
16,Kelly,PR,Houma,OVO District
17,Callie,NETT,Newport News,West Turtle District
18,Blake,IN,Chamblee,South Lake District
19,Trent,FL,Reno,Redlight District
20,Callie,WV,Vallejo,East Baton District
21,Gail,DEMO,Detroit,West Turtle District
22,Rently,SC,Austin,OVO District
23,Rently,SD,Newport News,Ten10 District
24,Kate,ME,San Antonio,East Baton District
25,Callie,TN,North Charleston,Moore District
26,Kim,MA,Elk Grove,OVO District
27,Jake,NH,San Antonio,OVO District
28,Sandy,MT,Billings,Redlight District
29,Jack,TN,Newark,San Bart District
30,Ami,UT,Vacaville,Moore District
31,Faye,PR,Atlanta,Moore District
32,Grace,AZ,Edison,East Baton District
33,Peter,NETT,Santa Rosa,OVO District
34,Chanze,NY,North Charleston,East Baton District
35,Kelly,RI,Elk Grove,Moore District
36,Kent,OH,Santa Clara,Moore District
37,Logan,MI,Chamblee,San Bart District
38,Callie,FL,Austin,Redlight District
39,Kent,NM,Springfield,Ten10 District
40,Kent,NV,Las Cruces,South Lake District
41,Vince,MI,Atlanta,San Bart District
42,Jake,ND,Detroit,East Baton District
43,Ami,MN,Billings,OVO District
44,Kelly,GU,Houma,Redlight District
45,Elle,HI,Elk Grove,San Bart District
46,Jack,NV,Edison,San Bart District
47,Doath,TN,Springfield,Redlight District
48,Rently,ME,Las Cruces,West Turtle District
49,Ruth,UT,Montego,Moore District
50,Chad,WV,Edison,San Bart District
51,Logan,TN,Houma,OVO District
52,Margret,NH,Manchester,Ten10 District
53,Liv,OH,Edison,Moore District
54,Grant,FL,Miami,Moore District
55,Joy,ME,Atlanta,South Lake District
56,Vince,MI,Newark,Moore District
57,Ami,VT,ShrevportEl Paso,South Lake District
58,Tess,WA,Springfield,San Bart District
59,Gwen,DC,Detroit,Redlight District
60,Trent,ND,Manchester,OVO District
61,Eve,VA,Raleigh,South Lake District
62,Vince,VT,Chamblee,OVO District
63,Liv,AS,Miami,San Bart District
64,Nelly,PA,Newport News,Ten10 District
65,Blake,PR,Newark,West Turtle District
66,Jean,NV,Las Cruces,West Turtle District
67,Liv,GU,Newark,Ten10 District
68,Grace,HI,Houma,OVO District
69,Heath,WA,Santa Maria,East Baton District
70,Kent,GU,Detroit,Moore District
71,Kim,MN,Edison,Ten10 District
72,Heath,HI,Vallejo,Moore District
73,Paige,MT,Raleigh,OVO District
74,Margret,AS,Santa Clara,Ten10 District
75,Marcy,MS,Vacaville,East Baton District
76,Grant,IN,Newark,South Lake District
77,Todd,OR,Edison,OVO District
78,Billy,WY,Chamblee,Ten10 District
79,Pete,MA,Elk Grove,West Turtle District
80,Gail,OR,Vallejo,OVO District
81,Bn,MS,Elk Grove,OVO District
82,Grant,UT,Las Cruces,Ten10 District
83,Margret,MI,Billings,OVO District
