EmpID,Subject_team,Name,Grade_team
6,Chemisty,Vincent,8
7,Art,Joy,1
8,Computing,Grace,4
9,Spanish,Jean,3
10,Computing,Ruth,3
11,Physics,Claire,8
12,Reading,Rose,4
13,French,Dawn,3
14,Algebra,Chad,9
15,French,Ruth,2
16,Writing,Beth,7
17,Writing,Paige,5
18,French,Jack,8
19,History,Rhett,12
20,History,Jack,4
21,Computing,Jane,11
22,Writing,Trent,1
23,French,Grace,11
24,Algebra,Claire,4
25,General Science,Chase,6
26,French,Kellon,6
27,French,Cale,8
28,Writing,Dawn,11
29,Physics,Cale,3
30,General Science,Todd,12
31,Writing,Kent,10
32,Geography,Ruth,8
33,Chemisty,Kate,4
34,Art,Cade,4
35,Writing,Kandy,2
36,Algebra,Yancy,7
37,General Science,Kim,12
38,Art,Elle,8
39,Physics,Kate,11
40,Spanish,Claire,12
41,Algebra,Kellon,7
42,Computing,Faye,6
43,Algebra,Tess,2
44,Writing,Kim,5
45,Physics,Rose,4
46,French,Ann,8
47,Writing,Tess,5
48,Spanish,Jane,7
49,Algebra,Gwen,3
50,Spanish,Jake,3
51,Spanish,Rose,2
52,Computing,Rose,11
53,History,Trent,4
54,Algebra,Grant,7
55,History,Grant,3
56,Chemisty,Joy,6
57,Chemisty,Jack,3
58,Writing,Rose,10
59,General Science,Cole,12
60,French,Grace,6
61,General Science,Neil,1
62,Computing,Cale,11
63,Writing,Grace,5
64,Algebra,Cale,2
65,Reading,Tess,10
66,Art,Yancy,10
67,Art,Rose,11
68,P.E.,Dee,3
69,General Science,Elle,11
70,P.E.,Blake,10
71,Reading,Vince,9
72,General Science,Yancy,10
73,Art,Brock,6
74,Chemisty,Todd,4
75,French,Eve,5
76,French,Tess,1
77,Algebra,Vince,4
78,Physics,Grant,9
79,Reading,Liv,2
80,Reading,Rhett,12
81,Art,Vincent,9
82,Writing,Yancy,4
83,Geography,Rose,2
84,Geography,Grace,3
85,French,Kurt,4
86,Physics,Claire,1
87,History,Rose,3
88,French,Vince,7
89,Geography,Kate,11
90,Physics,Tess,11
91,Reading,Jack,11
92,Spanish,Paige,8
93,Algebra,Tess,4
94,General Science,Heath,7
95,P.E.,Rhett,12
96,Chemisty,Holland,3
97,Algebra,Clark,12
98,P.E.,Kellon,3
99,Reading,Gail,10
100,Physics,Grant,4
101,Chemisty,Holland,5
102,History,Chase,2
103,History,Kim,3
104,Physics,Brock,4
105,History,Brock,3
106,French,Vincent,9
107,History,Kent,7
108,Reading,Drake,5
109,Computing,Jake,5
110,Geography,Tess,8
111,French,Dee,12
112,French,Kate,4
113,History,Chase,10
114,Geography,Jake,11
115,Chemisty,Trent,5
116,History,Yancy,12
117,Computing,Grant,10
118,Reading,Faye,4
119,P.E.,Rhett,2
120,Reading,Todd,12
121,Writing,Rose,6
122,French,Blaire,11
123,P.E.,Jean,9
124,Chemisty,Clark,4
125,Algebra,Kim,12
126,Geography,Luke,5
127,History,Kandy,4
128,Writing,Ross,5
129,Writing,Grant,6
130,P.E.,Jean,9
131,Reading,Drake,9
132,Reading,Chase,12
133,General Science,Rose,6
134,Algebra,Gail,11
135,Geography,Faye,12
136,Chemisty,Joy,4
137,French,Jean,9
138,French,Pearl,2
139,Computing,Jack,9
140,Geography,Paige,2
141,Algebra,Ruth,11
142,Spanish,Cale,9
143,Physics,Holland,4
144,Geography,Gail,3
145,General Science,Dawn,2
146,Spanish,Chad,10
147,Computing,Eve,11
148,French,Kate,9
149,Chemisty,Tess,1
150,General Science,Eve,12
151,Art,Dawn,8
152,Computing,Rose,4
153,Spanish,Neil,8
154,Computing,Blaire,11
155,French,Kent,8
156,Computing,Liv,11
157,Geography,Brock,10
158,Algebra,Yancy,2
159,P.E.,Chad,5
160,History,Rhett,1
161,Chemisty,Eve,10
162,P.E.,Dawn,5
163,Chemisty,Kurt,9
164,History,Grant,1
165,History,Clark,3
166,Algebra,Rose,5
167,Computing,Brock,10
168,Geography,Cole,11
169,Computing,Heath,1
170,Spanish,Ann,10
171,Reading,Holland,8
172,Reading,Grace,2
173,Physics,Dee,8
174,French,Kate,6
175,Physics,Cade,6
176,Reading,Cade,6
177,General Science,Kellon,6
178,Spanish,Dawn,1
179,Reading,Drake,4
180,Reading,Trent,9
181,Physics,Jack,12
182,Spanish,Yancy,11
183,Computing,Jean,6
